0696180555555-89_92-112&485_554&663-568&628_152&659_164&501_580&470-0_0_0_2_25_30_31-79-336.jpg, character_0: Top Left (4, 0), Bottom Right (15, 23)
0696180555555-89_92-112&485_554&663-568&628_152&659_164&501_580&470-0_0_0_2_25_30_31-79-336.jpg, character_1: Top Left (18, 0), Bottom Right (29, 23)
0696180555555-89_92-112&485_554&663-568&628_152&659_164&501_580&470-0_0_0_2_25_30_31-79-336.jpg, character_2: Top Left (36, 0), Bottom Right (39, 23)
0696180555555-89_92-112&485_554&663-568&628_152&659_164&501_580&470-0_0_0_2_25_30_31-79-336.jpg, character_3: Top Left (46, 0), Bottom Right (55, 23)
0696180555555-89_92-112&485_554&663-568&628_152&659_164&501_580&470-0_0_0_2_25_30_31-79-336.jpg, character_4: Top Left (58, 0), Bottom Right (67, 23)
0696180555555-89_92-112&485_554&663-568&628_152&659_164&501_580&470-0_0_0_2_25_30_31-79-336.jpg, character_5: Top Left (69, 1), Bottom Right (69, 23)
0565445402298-89_80-129&451_594&575-596&575_136&593_132&458_592&440-0_0_16_5_31_29_33-130-286.jpg, character_0: Top Left (2, 0), Bottom Right (13, 23)
0565445402298-89_80-129&451_594&575-596&575_136&593_132&458_592&440-0_0_16_5_31_29_33-130-286.jpg, character_1: Top Left (16, 0), Bottom Right (27, 23)
0565445402298-89_80-129&451_594&575-596&575_136&593_132&458_592&440-0_0_16_5_31_29_33-130-286.jpg, character_2: Top Left (30, 0), Bottom Right (41, 23)
0565445402298-89_80-129&451_594&575-596&575_136&593_132&458_592&440-0_0_16_5_31_29_33-130-286.jpg, character_3: Top Left (44, 0), Bottom Right (55, 23)
0565445402298-89_80-129&451_594&575-596&575_136&593_132&458_592&440-0_0_16_5_31_29_33-130-286.jpg, character_4: Top Left (58, 0), Bottom Right (69, 23)
0635129310345-90_88-115&507_580&662-584&658_141&671_143&513_586&500-0_0_22_25_27_25_20-66-288.jpg, character_0: Top Left (4, 0), Bottom Right (12, 23)
0635129310345-90_88-115&507_580&662-584&658_141&671_143&513_586&500-0_0_22_25_27_25_20-66-288.jpg, character_1: Top Left (21, 0), Bottom Right (24, 23)
0635129310345-90_88-115&507_580&662-584&658_141&671_143&513_586&500-0_0_22_25_27_25_20-66-288.jpg, character_2: Top Left (32, 0), Bottom Right (42, 23)
0635129310345-90_88-115&507_580&662-584&658_141&671_143&513_586&500-0_0_22_25_27_25_20-66-288.jpg, character_3: Top Left (49, 1), Bottom Right (51, 23)
